"BBL","Address","Initial Benefit Year","Exemption Years","Tax Year","Total # of MCIs","# of MCIs Granted in Full or Partial","# of MCIs Granted in Full","# of MCIs Denied"
1011820012,"345 W 70TH ST",1999,14,2000,3,2,1,0
1011830022,"325 W 71ST ST",1993,14,2000,3,2,0,1
1011840024,"310 W 73RD ST",1998,14,2000,1,1,1,0
1011850032,"320 W 76TH ST",1996,14,2000,1,1,1,0
1011860025,"365 W END AVE",1993,14,2000,2,2,0,0
1011860033,"375 W END AVE",1994,14,2000,4,2,0,1
1011950014,"25 W 81ST ST",1992,14,2000,1,1,1,0
1011970113,"41 W 83RD ST",1991,14,2000,2,2,2,0
1011980019,"15 W 84TH ST",1996,14,2000,1,1,0,0
1012000015,"27 W 86TH ST",1992,14,2000,1,1,1,0
1012030031,"293 CENTRAL PARK W",1996,14,2000,1,1,0,0
1012030033,"295 CENTRAL PARK W",1993,14,2000,4,4,0,0
1012090109,"55 W 95TH ST",1991,14,2000,3,3,1,0
1012120008,"167 W 81ST ST",1996,14,2000,1,1,1,0
1012120110,"155 W 81ST ST",1991,14,2000,1,1,0,0
1012160044,"130 W 86TH ST",1990,14,2000,3,2,1,0
1012160048,"140 W 86TH ST",1997,14,2000,2,2,0,0
1012160054,"156 W 86TH ST",1994,14,2000,2,1,0,1
1012160140,"120 W 86TH ST",1991,14,2000,2,2,1,0
1012170050,"144 TO 150 W 87TH ST",1991,14,2000,4,4,1,0
1012250055,"160 W 95TH ST",1993,14,2000,4,3,2,1
1012280025,"211 W 80TH ST",1990,14,2000,2,1,1,1
1012280026,"209 W 80TH ST",1990,14,2000,2,2,1,0
1012280027,"207 W 80TH ST",1990,14,2000,2,1,1,1
1012280028,"205 W 80TH ST",1992,14,2000,2,1,1,1
1012290006,"265 W 81ST ST",1999,14,2000,3,2,1,1
1012290008,"251 W 81ST ST",1999,14,2000,1,1,1,0
1012290037,"202 W 82ND ST",1998,14,2000,1,1,1,0
1012300030,"462 AMSTERDAM AVE",1992,14,2000,2,1,0,1
1012310007,"233 W 83RD ST",1995,14,2000,1,1,1,0
1012310026,"215 W 83RD ST",1993,14,2000,2,1,0,0
